ID,Name,Municipality_ID,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted
137,BAFLO,53,2021-10-06 18:41:56,System - import,2021-10-06 18:41:56,System - import,0
138,BAKEL,1652,2021-10-06 18:41:57,System - import,2021-10-06 18:41:57,System - import,0
139,BAKHUIZEN,653,2021-10-06 18:41:59,System - import,2021-10-06 18:41:59,System - import,0
140,BAKKEVEEN,86,2021-10-06 18:41:59,System - import,2021-10-06 18:41:59,System - import,0
141,BALGOIJ,296,2021-10-06 18:42:00,System - import,2021-10-06 18:42:00,System - import,0
142,BALINGE,1731,2021-10-06 18:42:00,System - import,2021-10-06 18:42:00,System - import,0
143,BALK,653,2021-10-06 18:42:00,System - import,2021-10-06 18:42:00,System - import,0
144,BALKBRUG,160,2021-10-06 18:42:02,System - import,2021-10-06 18:42:02,System - import,0
145,BALLOERVELD,1680,2021-10-06 18:42:03,System - import,2021-10-06 18:42:03,System - import,0
146,BALLOO,1680,2021-10-06 18:42:03,System - import,2021-10-06 18:42:03,System - import,0
147,BALLUM,60,2021-10-06 18:42:03,System - import,2021-10-06 18:42:03,System - import,0
148,BANEHEIDE,965,2021-10-06 18:42:04,System - import,2021-10-06 18:42:04,System - import,0
149,BANHOLT,936,2021-10-06 18:42:04,System - import,2021-10-06 18:42:04,System - import,0
150,BANT,171,2021-10-06 18:42:04,System - import,2021-10-06 18:42:04,System - import,0
151,BANTEGA,82,2021-10-06 18:42:05,System - import,2021-10-06 18:42:05,System - import,0
152,BARCHEM,262,2021-10-06 18:42:05,System - import,2021-10-06 18:42:05,System - import,0
153,BARENDRECHT,489,2021-10-06 18:42:06,System - import,2021-10-06 18:42:06,System - import,0
154,BARGER COMPASCUUM,114,2021-10-06 18:42:15,System - import,2021-10-06 18:42:15,System - import,0
155,BARNEVELD,203,2021-10-06 18:42:15,System - import,2021-10-06 18:42:15,System - import,0
156,BARSINGERHORN,412,2021-10-06 18:42:22,System - import,2021-10-06 18:42:22,System - import,0
157,BASSE,1708,2021-10-06 18:42:23,System - import,2021-10-06 18:42:23,System - import,0
158,BATENBURG,296,2021-10-06 18:42:23,System - import,2021-10-06 18:42:23,System - import,0
159,BATHMEN,144,2021-10-06 18:42:23,System - import,2021-10-06 18:42:23,System - import,0
160,BAVEL,758,2021-10-06 18:42:26,System - import,2021-10-06 18:42:26,System - import,0
161,BAVEL AC,1723,2021-10-06 18:42:28,System - import,2021-10-06 18:42:28,System - import,0
162,BEARS FR,140,2021-10-06 18:42:28,System - import,2021-10-06 18:42:28,System - import,0
163,BEDUM,5,2021-10-06 18:42:28,System - import,2021-10-06 18:42:28,System - import,0
164,BEEGDEN,1937,2021-10-06 18:42:31,System - import,2021-10-06 18:42:31,System - import,0
165,BEEK EN DONK,1659,2021-10-06 18:42:31,System - import,2021-10-06 18:42:31,System - import,0
166,BEEK GEM BERGH,207,2021-10-06 18:42:34,System - import,2021-10-06 18:42:34,System - import,0
167,BEEK LB,888,2021-10-06 18:42:35,System - import,2021-10-06 18:42:35,System - import,0
168,BEEK UBBERGEN,282,2021-10-06 18:42:39,System - import,2021-10-06 18:42:39,System - import,0
169,BEEKBERGEN,200,2021-10-06 18:42:40,System - import,2021-10-06 18:42:40,System - import,0
170,BEEMTE BROEKLAND,200,2021-10-06 18:42:42,System - import,2021-10-06 18:42:42,System - import,0
171,BEERS NB,1684,2021-10-06 18:42:43,System - import,2021-10-06 18:42:43,System - import,0
172,BEERTA,1661,2021-10-06 18:42:43,System - import,2021-10-06 18:42:43,System - import,0
173,BEERZE,175,2021-10-06 18:42:44,System - import,2021-10-06 18:42:44,System - import,0
174,BEERZERVELD,175,2021-10-06 18:42:44,System - import,2021-10-06 18:42:44,System - import,0
175,BEESD,236,2021-10-06 18:42:45,System - import,2021-10-06 18:42:45,System - import,0
176,BEESEL,889,2021-10-06 18:42:46,System - import,2021-10-06 18:42:46,System - import,0
177,BEETGUM,83,2021-10-06 18:42:47,System - import,2021-10-06 18:42:47,System - import,0
178,BEETGUMERMOLEN,83,2021-10-06 18:42:47,System - import,2021-10-06 18:42:47,System - import,0
